S. No,University,Programme,Year of Entry,Decision Date,Decision,CGPA,GRE,TOEFL,Work Experience,Research Experience,Research Papers,Submitted Portfolio,Student Status,Class Size,THE Rank,QS Rank,Application Date
129,University of Texas Austin,MSIS,2020,28-Mar-20,Accepted,3.7,325,114,1,Yes,0,No,I,50,31,67,
130,University of Texas Austin,MSIS,2020,25-Mar-20,Rejected,3,324,120,4,No,0,No,I,50,31,67,
131,University of Texas Austin,MSIS,2020,02-Apr-20,Accepted,3.9,314,110,0,Yes,0,No,I,50,31,67,
132,University of Texas Austin,MSIS,2020,13-Mar-20,Accepted,3.7,NA,NA,2,Yes,0,No,A,50,31,67,
133,University of Texas Austin,MSIS,2019,06-Jun-19,Rejected,3.4,313,NA,0,No,0,No,A,50,31,67,
134,University of Texas Austin,MSIS,2019,28-Mar-19,Accepted,3.4,320,NA,1,No,0,No,A,50,31,67,
135,Indiana University Bloomington,MS HCI/d,2021,06-Mar-21,Accepted,2.7,320,113,1.5,No,0,Yes,I,45,140,320,31-Dec-20
136,Indiana University Bloomington,MS HCI/d,2021,06-Mar-21,Rejected,2.8,316,112,3.5,No,0,Yes,I,45,140,320,28-Dec-20
137,Indiana University Bloomington,MS HCI/d,2021,05-03-2021,Accepted,3.6,NA,105,1,No,0,Yes,A,45,140,320,28-Dec-20
139,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.7,NA,112,3,No,0,Yes,I,45,140,320,31-Dec-20
140,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.7,325,117,1,No,0,Yes,I,45,140,320,01-Jan-21
141,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.3,NA,101,2,Yes,2,Yes,I,45,140,320,26-Dec-21
142,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.5,NA,106,4,No,0,Yes,I,45,140,320,30-Jan-21
143,Indiana University Bloomington,MS HCI/d,2021,11-Mar-21,Accepted,3.8,NA,106,1,No,0,Yes,I,45,140,320,01-Jan-21
144,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.3,NA,108,1,No,0,Yes,I,45,140,320,28-Dec-20
145,Indiana University Bloomington,MS HCI/d,2021,25-Mar-21,Rejected,3.59,NA,NA,1,Yes,0,Yes,A,45,140,320,31-Dec-20
146,Indiana University Bloomington,MS HCI/d,2021,13-Mar-21,Accepted,3.3,NA,109,1,No,0,Yes,I,45,140,320,31-Dec-20
147,Indiana University Bloomington,MS HCI/d,2021,12-Mar-21,Accepted,3.37,312,108,0,No,0,Yes,I,45,140,320,15-Nov-20
148,Indiana University Bloomington,MS HCI/d,2021,25-Mar-21,Rejected,3.8,314,108,0.5,Yes,1,Yes,I,45,140,320,30-Jan-21
149,Indiana University Bloomington,MS HCI/d,2021,18-Mar-21,Rejected,3.38,318,105,0,No,0,Yes,I,45,140,320,30-Dec-20
150,Indiana University Bloomington,MS HCI/d,2021,25-Mar-21,Accepted,3.4,NA,93,8,No,0,Yes,I,45,140,320,30-Dec-20
151,Indiana University Bloomington,MS HCI/d,2021,11-Mar-21,Accepted,3.7,NA,NA,2,Yes,0,Yes,A,45,140,320,
152,Indiana University Bloomington,MS HCI/d,2021,11-Mar-21,Accepted,3.2,NA,100,3,Yes,1,Yes,I,45,140,320,
153,Indiana University Bloomington,MS HCI/d,2021,05-Mar-21,Accepted,3.2,320,112,2,Yes,0,Yes,I,45,140,320,
154,Indiana University Bloomington,MS HCI/d,2021,23-Mar-21,Rejected,3.5,NA,96,3.5,No,0,Yes,I,45,140,320,
155,Indiana University Bloomington,MS HCI/d,2021,25-Mar-21,Accepted,3.4,NA,97,4.5,Yes,1,Yes,I,45,140,320,
156,Indiana University Bloomington,MS HCI/d,2021,24-Mar-21,Rejected,3.6,332,115,0,Yes,2,Yes,I,45,140,320,
157,Indiana University Bloomington,MS HCI/d,2020,09-Apr-20,Accepted,3.6,303,105,0.5,Yes,0,Yes,I,45,140,320,
158,Indiana University Bloomington,MS HCI/d,2020,09-Apr-20,Accepted,3.3,308,103,2.5,Yes,0,Yes,I,45,140,320,
159,Indiana University Bloomington,MS HCI/d,2020,11-Mar-20,Accepted,3.6,318,108,0,Yes,0,Yes,I,45,140,320,
160,Indiana University Bloomington,MS HCI/d,2019,09-Mar-19,Rejected,3.6,319,NA,2,Yes,0,Yes,A,45,140,320,
161,Indiana University Bloomington,MS HCI/d,2019,09-Mar-19,Rejected,3,313,98,3,Yes,0,Yes,I,45,140,320,
162,Indiana University Bloomington,MS HCI/d,2019,08-Mar-19,Accepted,3.46,321,100,2,No,0,Yes,I,45,140,320,
163,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.38,NA,97,0,No,0,Yes,I,22,227,430,05-Jan
164,Pratt Institute,IXD,2021,23-Feb-21,Rejected,3.6,NA,105,1,No,0,Yes,A,22,227,430,04-Jan
165,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.3,NA,NA,2,No,0,No,A,22,227,430,04-Jan
166,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.7,325,117,1,Yes,0,Yes,I,22,227,430,05-Jan
167,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.7,NA,NA,2.5,No,0,No,A,22,227,430,05-Jan
168,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.9,NA,NA,1,No,0,No,U,22,227,430,05-Jan
169,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.7,312,108,0,No,0,Yes,I,22,227,430,15-Nov-20
170,Pratt Institute,IXD,2021,23-Feb-21,Rejected,3,NA,99,2.5,No,0,Yes,I,22,227,430,05-Jan-21
171,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.4,NA,93,8,No,0,Yes,I,22,227,430,30-Dec-20
172,Pratt Institute,IXD,2021,25-Feb-21,Accepted,3.7,NA,97,2,No,0,Yes,I,22,227,430,
173,Pratt Institute,IXD,2021,04-Mar-21,Accepted,3.7,NA,108,0,No,0,Yes,I,22,227,430,
174,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.85,NA,NA,1,No,0,Yes,A,22,227,430,
175,Pratt Institute,IXD,2021,23-Feb-21,Rejected,3.5,NA,103,1,No,0,Yes,I,22,227,430,
176,Pratt Institute,IXD,2021,23-Feb-21,Rejected,3.6,NA,NA,0,No,0,Yes,U,22,227,430,
177,Pratt Institute,IXD,2021,01-Mar-21,Rejected,3.6,NA,93,2,No,0,Yes,I,22,227,430,
178,Pratt Institute,IXD,2021,23-Feb-21,Accepted,3.6,318,97,0,No,0,Yes,I,22,227,430,
179,Pratt Institute,IXD,2021,01-Mar-21,Rejected,2.7,NA,103,0,No,0,Yes,I,22,227,430,
180,Pratt Institute,IXD,2021,26-Feb-21,Rejected,3.7,NA,110,3,No,0,Yes,I,22,227,430,
181,Pratt Institute,IXD,2020,06-Mar-20,Accepted,3.54,NA,100,1,Yes,0,Yes,I,22,227,430,
182,Pratt Institute,IXD,2020,06-Mar-20,Accepted,3.21,NA,NA,1,Yes,0,Yes,A,22,227,430,
183,Pratt Institute,IXD,2020,06-Mar-20,Rejected,3.6,NA,NA,0,No,0,Yes,U,22,227,430,
184,Indiana University Purdue,MS HCI,2021,10-Mar-21,Accepted,2.75,320,113,1.5,No,0,Yes,I,35,650,760,15-Jan-21
185,Indiana University Purdue,MS HCI,2021,01-May-20,Accepted,3,302,95,0,No,0,Yes,I,35,650,760,01-Mar-20
186,Indiana University Purdue,MS HCI,2021,10-Apr-21,Accepted,3.7,302,90,3,No,0,Yes,I,35,650,760,01-Mar-21
187,Indiana University Purdue,MS HCI,2021,20-Apr-21,Accepted,2.75,305,96,0.5,Yes,0,Yes,I,35,650,760,
188,Indiana University Purdue,MS HCI,2021,10-Apr-21,Accepted,3.75,310,110,3,No,0,Yes,I,35,650,760,
189,Indiana University Purdue,MS HCI,2021,10-Apr-21,Accepted,3.7,313,105,1,No,0,Yes,I,35,650,760,
190,Indiana University Purdue,MS HCI,2021,10-Apr-21,Accepted,3.35,311,97,4.5,No,0,Yes,I,35,650,760,
191,Indiana University Purdue,MS HCI,2021,25-Feb-21,Rejected,2.4,292,98,0,No,0,Yes,I,35,650,760,
192,Indiana University Purdue,MS HCI,2021,15-Mar-21,Accepted,2.7,312,105,0.5,No,0,Yes,I,35,650,760,
193,Indiana University Purdue,MS HCI,2021,10-Mar-21,Accepted,3.7,320,107,0,No,1,Yes,I,35,650,760,
194,Rochester Institute ,MS HCI,2021,13-Feb-21,Accepted,2.7,320,113,1.5,No,0,No,I,25,650,115,
195,Rochester Institute ,MS HCI,2021,10-Feb-21,Rejected,3.9,NA,NA,1,No,0,No,U,25,650,115,
196,Rochester Institute ,MS HCI,2021,20-Jan-21,Accepted,3.3,318,97,0,No,0,No,I,25,650,115,
197,Rochester Institute ,MS HCI,2021,13-Feb-21,Accepted,3.59,NA,NA,0.5,Yes,0,No,U,25,650,115,
198,Rochester Institute ,MS HCI,2021,02-Mar-21,Accepted,3.8,314,108,0.5,Yes,1,No,I,25,650,115,
199,Rochester Institute ,MS HCI,2021,28-Mar-21,Accepted,3.5,309,86,6,No,0,No,I,25,650,115,
200,Rochester Institute ,MS HCI,2021,10-Feb-21,Rejected,3.9,323,NA,0,No,0,No,A,25,650,115,
201,Rochester Institute ,MS HCI,2021,06-Feb-21,Accepted,3.5,319,113,1.5,Yes,0,Yes,I,25,650,115,
202,Rochester Institute ,MS HCI,2021,31-Jan-21,Rejected,3.2,308,98,0,No,0,No,I,25,650,115,
203,University of Maryland (College Park),MS HCI,2021,28-Feb-21,Accepted,2.75,320,113,1.5,No,0,Yes,I,35,90,152,15-Jan-21
204,University of Maryland (College Park),MS HCI,2021,28-Feb-21,Accepted,3.9,NA,NA,1,No,0,Yes,U,35,90,152,10-Jan-21
205,University of Maryland (College Park),MS HCI,2021,28-Feb-21,Accepted,3.3,314,114,3.5,Yes,0,Yes,I,35,90,152,12-Jan-21
206,University of Maryland (College Park),MS HCI,2021,13-Mar-21,Rejected,3,313,110,0,No,0,Yes,I,35,90,152,13-Dec-21
207,University of Maryland (College Park),MS HCI,2021,13-Mar-21,Rejected,3.7,313,117,1,No,0,Yes,I,35,90,152,13-12-2020
208,University of Maryland (College Park),MS HCI,2021,11-Mar-21,Accepted,3.3,312,108,0,No,0,Yes,I,35,90,152,15-Nov-20
209,University of Maryland (College Park),MS HCI,2021,13-Mar-21,Rejected,3.9,309,105,1,No,0,Yes,I,35,90,152,15-Jan-21
210,University of Maryland (College Park),MS HCI,2021,13-Mar-21,Rejected,3.8,314,108,0.5,Yes,1,Yes,I,35,90,152,15-Jan-21
211,University of Maryland (College Park),MS HCI,2021,13-Mar-21,Rejected,3.5,309,86,6,No,0,Yes,I,35,90,152,15-Jan-21
212,University of Maryland (College Park),MS HCI,2021,27-Feb-20,Accepted,3.8,324,117,0.5,Yes,1,Yes,I,35,90,152,29-Dec-19
213,University of Maryland (College Park),MS HCI,2021,03-Mar-21,Rejected,2.7,323,117,3.5,No,0,Yes,I,35,90,152,
214,University of Maryland (College Park),MS HCI,2021,11-Mar-21,Accepted,2.8,319,110,1.5,Yes,0,Yes,I,35,90,152,
215,University of Maryland (College Park),MS HCI,2021,11-Mar-21,Accepted,3.4,NA,NA,2,Yes,0,Yes,A,35,90,152,
216,University of Maryland (College Park),MS HCI,2021,24-Mar-21,Accepted,3.3,324,114,2,No,0,Yes,I,35,90,152,
